uuid,name,sire,dam,sex,alive,plumage,acquired_on
00599f,zebf_blue_20,zebf_blue_11,zebf_blue_12,M,False,,2014-05-04
f941a8,zebf_blue_30,zebf_blue_7,zebf_blue_13,M,False,,2014-05-08
5e367c,zebf_blue_31,zebf_blue_7,zebf_blue_13,F,False,,2014-05-08
f1ddb4,zebf_blue_34,zebf_blue_7,zebf_blue_15,M,False,,2014-05-12
32cf7f,zebf_blue_35,zebf_blue_7,zebf_blue_15,F,False,,2014-05-12
8485be,zebf_blue_40,zebf_blue_9,zebf_blue_16,F,False,,2014-06-22
1a9c31,zebf_blue_53,zebf_blue_11,zebf_blue_12,M,False,,2014-06-24
117726,zebf_blue_54,zebf_blue_11,zebf_blue_12,M,False,,2014-06-24
13fe2d,zebf_blue_57,zebf_blue_7,zebf_blue_15,F,False,,2014-07-18
7739df,zebf_blue_72,zebf_blue_3,zebf_blue_1,M,False,gray,2014-06-22
4e811a,zebf_blue_86,zebf_blue_7,zebf_blue_15,F,False,,2014-12-29
198ab8,zebf_blue_110,zebf_blue_20,zebf_blue_35,F,False,,2015-06-14
442262,zebf_blue_113,zebf_blue_2,zebf_blue_8,F,False,fawn,2015-06-13
566d97,zebf_blue_201,zebf_blue_72,zebf_blue_113,F,False,gray,2017-04-02
9debbc,zebf_blue_208,zebf_blue_54,zebf_blue_86,F,False,,2018-06-18
e6bfd4,zebf_cobalt_1,zebf_red_216,zebf_orange_143,F,False,fawn,2021-01-20
6dbb79,zebf_cobalt_2,zebf_red_216,zebf_orange_143,M,False,gray,2021-01-24
c70725,zebf_cobalt_3,zebf_red_264,zebf_purple_106,M,False,gray,2021-02-06
96cb7c,zebf_cobalt_5,zebf_green_79,zebf_purple_82,M,False,pied,2021-02-09
964665,zebf_cobalt_6,zebf_green_79,zebf_purple_82,M,False,gray,2021-02-10
a31c0b,zebf_cobalt_7,zebf_green_79,zebf_purple_82,F,False,fawn,2021-02-08
957549,zebf_cobalt_8,zebf_green_79,zebf_purple_82,F,False,fawn,2021-02-11
35114a,zebf_cobalt_9,zebf_purple_100,zebf_purple_28,F,False,gray,2021-02-15
65b303,zebf_cobalt_10,zebf_purple_100,zebf_purple_28,F,False,gray,2021-02-15
73f29a,zebf_cobalt_11,zebf_purple_6,zebf_silver_153,F,False,pied,2021-02-15
8f1932,zebf_cobalt_12,zebf_purple_23,zebf_purple_77,F,False,silver,2021-02-28
b05c17,zebf_cobalt_13,zebf_purple_23,zebf_purple_77,F,False,pied,2021-02-26
113385,zebf_cobalt_15,zebf_purple_126,zebf_purple_122,F,False,gray,2021-03-06
afa822,zebf_cobalt_16,zebf_purple_126,zebf_purple_122,M,False,gray,2021-03-05
30a4ff,zebf_cobalt_22,zebf_purple_29,zebf_cobalt_10,F,False,gray,2021-06-22
e89317,zebf_cobalt_23,zebf_purple_29,zebf_cobalt_10,M,False,pied,2021-06-19
33ad5c,zebf_cobalt_25,zebf_purple_29,zebf_cobalt_10,F,False,gray,2021-06-21
745712,zebf_cobalt_26,zebf_purple_83,zebf_cobalt_199,M,False,,2021-06-22
9e7627,zebf_cobalt_27,zebf_purple_92,zebf_purple_7,F,False,silver,2021-06-28
415c4a,zebf_cobalt_32,zebf_cobalt_5,zebf_cobalt_11,M,False,pied,2021-07-03
e27a83,zebf_cobalt_33,zebf_purple_123,zebf_purple_88,F,False,,2021-07-03
3707cf,zebf_cobalt_34,zebf_purple_123,zebf_purple_88,F,False,,2021-07-08
fc26bf,zebf_cobalt_35,zebf_purple_128,zebf_cobalt_7,M,False,gray,2021-07-13
355561,zebf_cobalt_36,zebf_purple_128,zebf_cobalt_7,M,False,,2021-07-14
6f3cca,zebf_cobalt_43,zebf_cobalt_2,zebf_purple_81,F,False,,2021-07-15
3f8f06,zebf_cobalt_48,zebf_green_79,zebf_purple_82,F,False,fawn,2021-07-19
072a9e,zebf_cobalt_49,zebf_green_79,zebf_purple_82,M,False,pied,2021-07-19
6be89c,zebf_cobalt_50,zebf_purple_22,zebf_purple_121,M,False,gray,2021-07-26
