,uuid,name,sire,dam,sex,alive,plumage,acquired_on,age,coef_inbreeding,p_kinship,p_k_mean
0,00599f,blue_20,blue_11,blue_12,M,0,,2014-05-04,NA,-0.0,0.0,0.01748827272727273
1,f941a8,blue_30,blue_7,blue_13,M,0,,2014-05-08,NA,-0.0,0.0,0.01748827272727273
2,5e367c,blue_31,blue_7,blue_13,F,0,,2014-05-08,NA,-0.0,0.0,0.01748827272727273
3,f1ddb4,blue_34,blue_7,blue_15,M,0,,2014-05-12,NA,-0.0,0.0,0.01748827272727273
4,32cf7f,blue_35,blue_7,blue_15,F,0,,2014-05-12,NA,-0.0,0.0,0.01748827272727273
5,8485be,blue_40,blue_9,blue_16,F,0,,2014-06-22,NA,-0.0,0.0,0.01748827272727273
6,1a9c31,blue_53,blue_11,blue_12,M,0,,2014-06-24,NA,-0.0,0.0,0.01748827272727273
7,117726,blue_54,blue_11,blue_12,M,0,,2014-06-24,NA,-0.0,0.0,0.01748827272727273
8,13fe2d,blue_57,blue_7,blue_15,F,0,,2014-07-18,NA,-0.0,0.0,0.01748827272727273
9,7739df,blue_72,blue_3,blue_1,M,0,gray,2014-06-22,NA,-0.0,0.0,0.01748827272727273
10,4e811a,blue_86,blue_7,blue_15,F,0,,2014-12-29,NA,-0.0,0.0,0.01748827272727273
11,198ab8,blue_110,blue_20,blue_35,F,0,,2015-06-14,NA,-0.0,0.0,0.01748827272727273
12,442262,blue_113,blue_2,blue_8,F,0,fawn,2015-06-13,NA,-0.0,0.0,0.01748827272727273
13,566d97,blue_201,blue_72,blue_113,F,0,gray,2017-04-02,NA,-0.0,0.0,0.01748827272727273
14,9debbc,blue_208,blue_54,blue_86,F,0,,2018-06-18,NA,-0.0,0.0,0.01748827272727273
15,e6bfd4,cobalt_1,red_216,orange_143,F,0,fawn,2021-01-20,NA,-0.0,0.0,0.01748827272727273
16,6dbb79,cobalt_2,red_216,orange_143,M,0,gray,2021-01-24,NA,-0.0,0.0,0.01748827272727273
17,c70725,cobalt_3,red_264,purple_106,M,0,gray,2021-02-06,NA,-0.0,0.0,0.01748827272727273
18,96cb7c,cobalt_5,green_79,purple_82,M,0,pied,2021-02-09,NA,-0.0,,0.01748827272727273
19,964665,cobalt_6,green_79,purple_82,M,0,gray,2021-02-10,NA,-0.0,,0.01748827272727273
20,a31c0b,cobalt_7,green_79,purple_82,F,0,fawn,2021-02-08,NA,-0.0,,0.01748827272727273
21,957549,cobalt_8,green_79,purple_82,F,0,fawn,2021-02-11,NA,-0.0,,0.01748827272727273
22,35114a,cobalt_9,purple_100,purple_28,F,0,gray,2021-02-15,NA,0.0625,,0.01748827272727273
23,65b303,cobalt_10,purple_100,purple_28,F,0,gray,2021-02-15,NA,0.0625,,0.01748827272727273
24,73f29a,cobalt_11,purple_6,silver_153,F,0,pied,2021-02-15,NA,-0.0,0.0,0.01748827272727273
25,8f1932,cobalt_12,purple_23,purple_77,F,0,silver,2021-02-28,NA,-0.0,0.0,0.01748827272727273
26,b05c17,cobalt_13,purple_23,purple_77,F,0,pied,2021-02-26,NA,-0.0,0.0,0.01748827272727273
27,113385,cobalt_15,purple_126,purple_122,F,0,gray,2021-03-06,NA,-0.0,,0.01748827272727273
28,afa822,cobalt_16,purple_126,purple_122,M,0,gray,2021-03-05,NA,-0.0,,0.01748827272727273
29,30a4ff,cobalt_22,purple_29,cobalt_10,F,0,gray,2021-06-22,NA,0.03125,0.060634,0.01748827272727273
30,e89317,cobalt_23,purple_29,cobalt_10,M,0,pied,2021-06-19,NA,0.03125,0.060634,0.01748827272727273
31,33ad5c,cobalt_25,purple_29,cobalt_10,F,0,gray,2021-06-21,NA,0.03125,0.060634,0.01748827272727273
32,745712,cobalt_26,purple_83,cobalt_199,M,0,,2021-06-22,NA,-0.0,,0.01748827272727273
